Title,Authors,Citations,Year,Venue,Publisher,Description,Link
How deep are the fakes? focusing on audio deepfake: A survey,"Z Khanjani, G Watson, VP Janeja ",20,2021,"arXiv preprint arXiv:2111.14203, 2021",arxiv.org,"… focusing on audio deepfakes. In the audio deepfake section we discuss some important 
frameworks in detail and provide readers with sufficient guidance for audio deepfake tools as …",https://arxiv.org/abs/2111.14203
Emotions don't lie: An audio-visual deepfake detection method using affective cues,"T Mittal, U Bhattacharya, R Chandra, A Bera… ",281,2020,"Proceedings of the 28th …, 2020",dl.acm.org,"… Given an input video with audio-visual modalities present, our goal is to detect if it is a 
deepfake video. Overviews of our training and testing routines are given in Figure 1a and Figure …",https://dl.acm.org/doi/abs/10.1145/3394171.3413570
Audio deepfake detection based on a combination of f0 information and real plus imaginary spectrogram features,"J Xue, C Fan, Z Lv, J Tao, J Yi, C Zheng… ",26,2022,"… workshop on deepfake …, 2022",dl.acm.org,"… In addition, for audio deepfake detection, it is particularly … achieveing good performance for 
audio deepfake dectetion task. … an F0 subband feature for audio deepfake detection. Fig. 1 …",https://dl.acm.org/doi/abs/10.1145/3552466.3556526
Deepfake audio detection via MFCC features using machine learning,"A Hamza, ARR Javed, F Iqbal, N Kryvinska… ",66,2022,"IEEE …, 2022",ieeexplore.ieee.org,"… This research aims to derive a methodology for identifying deepfake audio from non-synthetic 
or real audio. It provides the following contributions to identify deepfake audios effectively …",https://ieeexplore.ieee.org/abstract/document/9996362/
Not made for each other-audio-visual dissonance-based deepfake detection and localization,"K Chugh, P Gupta, A Dhall… ",161,2020,"Proceedings of the 28th …, 2020",dl.acm.org,"… We propose detection of deepfake videos based on the dissimilarity between the audio and 
… MDS is computed as the mean aggregate of dissimilarity scores between audio and visual …",https://dl.acm.org/doi/abs/10.1145/3394171.3413700
Audio-visual person-of-interest deepfake detection,"D Cozzolino, A Pianese, M Nießner… ",54,2023,"Proceedings of the …, 2023",openaccess.thecvf.com,"… We propose a new method for deepfake detection which exploits audio-visual features of 
the portrayed individual. Our key assumption is that any manipulation method, however …",https://openaccess.thecvf.com/content/CVPR2023W/WMF/html/Cozzolino_Audio-Visual_Person-of-Interest_DeepFake_Detection_CVPRW_2023_paper.html
Video and audio deepfake datasets and open issues in deepfake technology: being ahead of the curve,"Z Akhtar, TL Pendyala, VS Athmakuri ",1,2024,"Forensic Sciences, 2024",mdpi.com,"… attackers armed with deepfake generators and defenders utilizing deepfake detectors. This 
… , video, and audio deepfake databases with the aim of propelling next-generation deepfake …",https://www.mdpi.com/2673-6756/4/3/21
Recurrent convolutional structures for audio spoof and video deepfake detection,"A Chintha, B Thai, SJ Sohrawardi… ",168,2020,"IEEE Journal of …, 2020",ieeexplore.ieee.org,"… deepfake detection in both isolation and ensemble form. 4) We demonstrate that our visual 
and audio … + and CelebDF video datasets and ASVSpoof 2019 Logical Access audio dataset. …",https://ieeexplore.ieee.org/abstract/document/9105097/
Deepfake audio detection: a deep learning based solution for group conversations,"R Wijethunga, DMK Matheesha… ",30,2020,"… on advancements in …, 2020",ieeexplore.ieee.org,"… of Deepfake audio used as a shred of crucial evidence to let criminals go free. Raising of 
Deepfake audio in … showed how a Deepfake mostly Deepfake image or Deepfake video can be …",https://ieeexplore.ieee.org/abstract/document/9357161/
Deepfake video detection using audio-visual consistency,"Y Gu, X Zhao, C Gong, X Yi ",12,2021,"… Melbourne, VIC, Australia, November 25–27 …, 2021",Springer,"… a Deepfake detection method by exploiting audio-visual consistency. As demonstrated, our 
approach explores visual defects in synthetic mouth regions by introducing authentic audio …",https://link.springer.com/chapter/10.1007/978-3-030-69449-4_13
Human perception of audio deepfakes,"NM Müller, K Pizzi, J Williams ",57,2022,"… on Deepfake Detection for Audio …, 2022",dl.acm.org,"… at detecting audio deepfakes (ie, synthetically generated audio). We use the term deepfake 
in this … We find that state-of-the-art audio deepfake detection models lack the super-human …",https://dl.acm.org/doi/abs/10.1145/3552466.3556531
Evaluation of an audio-video multimodal deepfake dataset using unimodal and multimodal detectors,"H Khalid, M Kim, S Tariq, SS Woo ",70,2021,"… deepfake generation and detection, 2021",dl.acm.org,"… In this paper, we are particularly focused on deepfake video and fake audio detection 
problems. As per our knowledge, the deepfake video and audio detection simultaneously using …",https://dl.acm.org/doi/abs/10.1145/3476099.3484315
Avoid-df: Audio-visual joint learning for detecting deepfake,"W Yang, X Zhou, Z Chen, B Guo, Z Ba… ",66,2023,"IEEE Transactions …, 2023",ieeexplore.ieee.org,"… To achieve a more accurate and efficient multi-modal deepfake detection, we propose 
Audio-Visual Joint Learning for Detecting Deepfake (AVoiD-DF), which incorporates audio-visual …",https://ieeexplore.ieee.org/abstract/document/10081373/
A comparative study on physical and perceptual features for deepfake audio detection,"M Li, Y Ahmadiadli, XP Zhang ",16,2022,"… on Deepfake Detection for Audio …, 2022",dl.acm.org,"… features that are adopted in the current Deepfake audio detection algorithms with the Two-… 
real and fake audio. Therefore, a good choice of features will benefit Deepfake detection …",https://dl.acm.org/doi/abs/10.1145/3552466.3556523
Audio deepfake detection system with neural stitching for add 2022,"R Yan, C Wen, S Zhou, T Guo… ",18,2022,"2022 …, 2022",ieeexplore.ieee.org,"This paper describes our best system and methodology for ADD 2022: The First Audio Deep 
Synthesis Detection Challenge[1]. The very same system was used for both two rounds of …",https://ieeexplore.ieee.org/abstract/document/9746820/
The vicomtech audio deepfake detection system based on wav2vec2 for the 2022 add challenge,JM Martín,78,2022,"2022 IEEE …, 2022",ieeexplore.ieee.org,"… present: the generation of deepfake speech that can even foolish … the research on audio 
deepfake detection systems able to … The continuous improvements in audio deepfake detection …",https://ieeexplore.ieee.org/abstract/document/9747768/
Attack agnostic dataset: Towards generalization and stabilization of audio deepfake detection,"P Kawa, M Plata, P Syga ",16,2022,"arXiv preprint arXiv:2206.13979, 2022",arxiv.org,"… Audio DeepFakes allow the creation of high–quality, convinc… Dataset — a combination of 
two audio DeepFakes and one anti–… DeepFake detection methods and consider different audio …",https://arxiv.org/abs/2206.13979
Audio-deepfake detection: Adversarial attacks and countermeasures,"M Rabhi, S Bakiras, R Di Pietro ",3,2024,"Expert Systems with Applications, 2024",Elsevier,"… fake audio … audio-deepfake detectors, we propose a highly generalizable, lightweight, 
simple, and effective add-on defense mechanism that can be implemented in any audio-deepfake …",https://www.sciencedirect.com/science/article/pii/S0957417424008078
Deepfake generation and detection: Case study and challenges,"Y Patel, S Tanwar, R Gupta, P Bhattacharya… ",17,2023,"IEEE …, 2023",ieeexplore.ieee.org,"… deepfake contents. We discuss a comparative analysis of deepfake models and public 
datasets present for deepfake … /video deepfake generation, followed by audio-based deepfake …",https://ieeexplore.ieee.org/abstract/document/10354308/
Add 2023: the second audio deepfake detection challenge,"J Yi, J Tao, R Fu, X Yan, C Wang, T Wang… ",71,2023,"arXiv preprint arXiv …, 2023",arxiv.org,"… The ASVspoof 2021 introduced a new task involving audio deepfake (DF) detection, 
accelerating progress in deepfake audio detection. To address more challenges in the real world, …",https://arxiv.org/abs/2305.13774
Deepfake: an overview,"A Chadha, V Kumar, S Kashyap, M Gupta ",48,2021,"Proceedings of second …, 2021",Springer,"… by deepfake techniques. This paper has attempted to introduce this concept of deepfake and 
has … In this, the written text is translated into audio by the AI. Text can be translated into the …",https://link.springer.com/chapter/10.1007/978-981-16-0733-2_39
Deepfake audio detection with neural networks using audio features,"A Qais, A Rastogi, A Saxena, A Rana… ",8,2022,"… and Computing for …, 2022",ieeexplore.ieee.org,"… audio features has been proposed to classify the human speech and synthetic voice, Worst-case 
scenarios can develop using deepfake audios … Every audio signal can be represented …",https://ieeexplore.ieee.org/abstract/document/9862519/
Source Tracing of Audio Deepfake Systems,"N Klein, T Chen, H Tak, R Casal, E Khoury ",1,2024,"arXiv preprint arXiv …, 2024",arxiv.org,"… primarily focuses on assessing whether a given audio sample is fake or genuine, there has 
… to create the audio deepfakes. Algorithms commonly used in audio deepfake generation, like …",https://arxiv.org/abs/2407.08016
Audio deepfake detection: A survey,"J Yi, C Wang, J Tao, X Zhang, CY Zhang… ",29,2023,"arXiv preprint arXiv …, 2023",arxiv.org,"… We provide a systematic overview focusing on learning common discriminative audio 
features related to audio deepfake detection, as well as computing methodologies that can be …",https://arxiv.org/abs/2308.14970
Deepfake detection using multiple data modalities,"H Hao, ER Bartusiak, D Güera… ",16,2022,"Handbook of digital …, 2022",library.oapen.org,"… an audio analysis to further improve our deepfake detection. We develop an audiobased … 
both video frames and audio speech to detect deepfakes via audio-video inconsistency. We …",https://library.oapen.org/bitstream/handle/20.500.12657/52835/978-3-030-87664-7.pdf#page=237
Audio deepfakes: A survey,"Z Khanjani, G Watson, VP Janeja ",33,2023,"Frontiers in Big Data, 2023",frontiersin.org,"… audio deepfake section, we discuss some important frameworks in detail and provide readers 
with sufficient guidance for audio deepfake … sections, we explain the deepfake categories. …",https://www.frontiersin.org/articles/10.3389/fdata.2022.1001063/full
Transferring audio deepfake detection capability across languages,"Z Ba, Q Wen, P Cheng, Y Wang, F Lin, L Lu… ",13,2023,"Proceedings of the ACM …, 2023",dl.acm.org,"… and audio strands have emerged. As the focus of this paper, audio deepfake detection is 
formulated as detecting the artifacts synthetic methods leave on the generated audio. This task …",https://dl.acm.org/doi/abs/10.1145/3543507.3583222
Detecting deep-fake videos from aural and oral dynamics,"S Agarwal, H Farid ",54,2021,"… of the IEEE/CVF conference on …, 2021",openaccess.thecvf.com,"… One of the earliest examples of what we now generically call deep-fake videos dates back 
… specific phonemes in a new audio track (today, we would call this a lip-sync deep fake). The …",https://openaccess.thecvf.com/content/CVPR2021W/WMF/html/Agarwal_Detecting_Deep-Fake_Videos_From_Aural_and_Oral_Dynamics_CVPRW_2021_paper.html
Deepfake Audio Detection Via Feature Engineering And Machine Learning.,"F Iqbal, A Abbasi, AR Javed, Z Jalil, JN Al",9,2022,ceur,ws.org,"… This study proposes a method for detecting fake audio and distinguishing deepfake 
audio from non-synthetic or actual audio. The following are the specific contributions: …",https://ceur-ws.org/Vol-3318/paper4.pdf
Attacker attribution of audio deepfakes,"NM Müller, F Dieckmann, J Williams ",12,2022,"arXiv preprint arXiv:2203.15563, 2022",arxiv.org,"… in characterising audio deepfake attackers.We … deepfake speech audio with respect to 
attacker ID from a labeled corpus. We evaluate the neural embeddings on a large audio deepfake …",https://arxiv.org/abs/2203.15563
Bts-e: Audio deepfake detection using breathing-talking-silence encoder,"TP Doan, L Nguyen",16,2023,"2023 IEEE …, 2023",ieeexplore.ieee.org,"… to fight against audio deepfake. In terms of … deepfake voice, for dealing with the audio 
deepfake detection problem. We argue that explicit features are properties or pieces of a raw audio …",https://ieeexplore.ieee.org/abstract/document/10095927/
Deepfake audio detection by speaker verification,"A Pianese, D Cozzolino, G Poggi… ",35,2022,"2022 IEEE International …, 2022",ieeexplore.ieee.org,"… the potential of audio speaker verification techniques for deepfake audio detection. In our … 
) of real audios of the same identity is available. Our procedure is to compare the audio under …",https://ieeexplore.ieee.org/abstract/document/9975428/
What to remember: Self-adaptive continual learning for audio deepfake detection,"X Zhang, J Yi, C Wang, CY Zhang, S Zeng… ",7,2024,"Proceedings of the AAAI …, 2024",ojs.aaai.org,"… feature distributions across tasks, such as genuine audio, and those with more spread-out … 
audio deepfake detection. Furthermore, RWM’s applicability extends beyond audio deepfake …",https://ojs.aaai.org/index.php/AAAI/article/view/29929
Domain generalization via aggregation and separation for audio deepfake detection,"Y Xie, H Cheng, Y Wang, L Ye ",11,2023,"IEEE Transactions on …, 2023",ieeexplore.ieee.org,"… RELATED WORK This section presents a brief introduction to the development of audio 
deepfake approaches, audio deepfake detection methods and typical domain generalization …",https://ieeexplore.ieee.org/abstract/document/10286049/
Multimodaltrace: Deepfake detection using audiovisual representation learning,"MA Raza, KM Malik ",23,2023,"… of the IEEE/CVF Conference on …, 2023",openaccess.thecvf.com,"… realistic deepfake may involve manipulation of either audio … algorithms to synchronize 
audio and visual modalities. Pre… audio-visual channel mixer for deepfake Detection analyzing …",https://openaccess.thecvf.com/content/CVPR2023W/WMF/html/Raza_Multimodaltrace_Deepfake_Detection_Using_Audiovisual_Representation_Learning_CVPRW_2023_paper.html
Joint audio-visual attention with contrastive learning for more general deepfake detection,"Y Zhang, W Lin, J Xu ",10,2024,"ACM Transactions on Multimedia Computing …, 2024",dl.acm.org,"… of deepfake detection algorithms, we propose a novel joint audio-visual deepfake 
detection model named AVA-CL, which is capable of detecting deepfakes in both audio and …",https://dl.acm.org/doi/abs/10.1145/3625100
A robust audio deepfake detection system via multi-view feature,"Y Yang, H Qin, H Zhou, C Wang, T Guo… ",10,2024,"2024 …, 2024",ieeexplore.ieee.org,"… elicited for the audio deepfake detection (ADD) system. In this paper, we exploit audio features 
to … Investigation of the ADD task performance is conducted over a broad range of audio …",https://ieeexplore.ieee.org/abstract/document/10446560/
Introduction to Audio Deepfake Generation: Academic Insights for Non-Experts,"JE Choi, K Schäfer, S Zmudzinski ",1,2024,"Proceedings of the 3rd ACM …, 2024",dl.acm.org,"… audio materials. Furthermore, in order to effectively combat disinformation and use audio 
deepfake … This paper aims to explain the technical advances in audio deepfake generation for …",https://dl.acm.org/doi/abs/10.1145/3643491.3660286
Learning A Self-Supervised Domain-Invariant Feature Representation for Generalized Audio Deepfake Detection,"Y Xie, H Cheng, Y Wang, L Ye ",12,2023,isca,archive.org,"… WaveFake is an audio DeepFake dataset created by 7 spoofing methods from LJspeech [29]. 
FakeAVceleb is a multi-modal DeepFake dataset, the audio part is generated from …",https://www.isca-archive.org/interspeech_2023/xie23c_interspeech.pdf
Speaker recognition-assisted robust audio deepfake detection.,"J Pan, S Nie, H Zhang, S He, K Zhang, S Liang… ",8,2022,isca,archive.org,"… speaker recognition-assisted audio deepfake detector. Feature … deepfake detector to fully 
exploit the inherent spectral discrimination of speech. Speaker recognition and audio deepfake …",https://www.isca-archive.org/interspeech_2022/pan22_interspeech.pdf
"Hello me, meet the real me: Audio deepfake attacks on voice assistants","D Bilika, N Michopoulou, E Alepis… ",10,2023,"arXiv preprint arXiv …, 2023",arxiv.org,"… plays the audio when in proximity to the VA, or the audio is … VAs do not distinguish the source 
of the audio. Scope: With the … literature to perform a deepfake audio experiment in a broad …",https://arxiv.org/abs/2302.10328
Mel-spectrogram image-based end-to-end audio deepfake detection under channel-mismatched conditions,"A Fathan, J Alam, WH Kang ",12,2022,"2022 IEEE International …, 2022",ieeexplore.ieee.org,"… detecting fake audio clips. To improve current audio spoofing detection models, we propose 
a selection of multiple audio augmentations specially designed to resemble audio spoofing …",https://ieeexplore.ieee.org/abstract/document/9859621/
Audio deepfake perceptions in college going populations,"G Watson, Z Khanjani, VP Janeja ",5,2021,"arXiv preprint arXiv:2112.03351, 2021",arxiv.org,"… on audio deepfakes and how people perceive it. There are several audio deepfake generation 
… is a non-autoregressive and fast audio deepfake generating framework, requiring fewer …",https://arxiv.org/abs/2112.03351
A lightweight feature extraction technique for deepfake audio detection,"N Chakravarty, M Dua ",4,2024,"Multimedia Tools and Applications, 2024",Springer,"… This section describes the previous work done in the field of audio deepfake detection. 
Fathan et al. [21] proposed a model whose main challenge of identifying fraudulent …",https://link.springer.com/article/10.1007/s11042-024-18217-9
Deepfake speech detection through emotion recognition: a semantic approach,"E Conti, D Salvi, C Borrelli, B Hosler… ",43,2022,"2022 …, 2022",ieeexplore.ieee.org,"… fake audio signals. This manuscript proposes a method to identify whether a given 
speech signal is authentic or deepfake exploiting sentiment analysis. We focus on the audio …",https://ieeexplore.ieee.org/abstract/document/9747186/
AVFF: Audio-Visual Feature Fusion for Video Deepfake Detection,"T Oorloff, S Koppisetti, N Bonettini… ",0,2024,"Proceedings of the …, 2024",openaccess.thecvf.com,"… for deepfake classification. … for robust deepfake detection that helps preserve content integrity. 
In this paper, we study video deepfake detection where either or both the visual and audio …",https://openaccess.thecvf.com/content/CVPR2024/html/Oorloff_AVFF_Audio-Visual_Feature_Fusion_for_Video_Deepfake_Detection_CVPR_2024_paper.html
Specrnet: Towards faster and more accessible audio deepfake detection,"P Kawa, M Plata, P Syga ",7,2022,"… on Trust, Security and Privacy in …, 2022",ieeexplore.ieee.org,"… In this work, we focus on increasing accessibility to the audio DeepFake … an audio sample, 
provides performance comparable to LCNN architecture — one of the best audio DeepFake …",https://ieeexplore.ieee.org/abstract/document/10063734/
Deepfake detection,S Lyu ,12,2022,"Multimedia Forensics, 2022",library.oapen.org,"… t) , and a synchronized audio signal a (t) if the audio track exists. Such abnormalities are 
often caused by various steps in the processing pipeline of DeepFake generation. For instance, …",https://library.oapen.org/bitstream/handle/20.500.12657/54043/978-981-16-7621-5.pdf?sequence=1#page=320
Lost in Translation: Lip-Sync Deepfake Detection from Audio-Video Mismatch,"M Bohacek, H Farid ",1,2024,"… of the IEEE/CVF Conference on …, 2024",openaccess.thecvf.com,"… to a better match between the video and audio transcriptions. As described next, we 
distinguish authentic from lipsync deepfake videos using a simple threshold on this normalized …",https://openaccess.thecvf.com/content/CVPR2024W/WMF/html/Bohacek_Lost_in_Translation_Lip-Sync_Deepfake_Detection_from_Audio-Video_Mismatch_CVPRW_2024_paper.html
Do you really mean that? content driven audio-visual deepfake dataset and multimodal method for temporal forgery localization,"Z Cai, K Stefanov, A Dhall… ",42,2022,"… Conference on Digital …, 2022",ieeexplore.ieee.org,"… However, a sophisticated deepfake may contain only a small segment of video/audio … 
a contentdriven audio-visual deepfake dataset, termed Localized Audio Visual DeepFake (LAV-DF)…",https://ieeexplore.ieee.org/abstract/document/10034605/
Integrating audio-visual features for multimodal deepfake detection,"S Muppalla, S Jia, S Lyu ",13,2023,"2023 IEEE MIT Undergraduate …, 2023",ieeexplore.ieee.org,"… Existing methods for audio-visual detection do not always surpass that of the analysis … 
an audiovisual-based method for deepfake detection, which integrates fine-grained deepfake …",https://ieeexplore.ieee.org/abstract/document/10534969/
FakeSound: Deepfake General Audio Detection,"Z Xie, B Li, X Xu, Z Liang, K Yu, M Wu ",1,2024,"arXiv preprint arXiv:2406.08052, 2024",arxiv.org,"… deepfake general audio detection, which aims to identify whether audio content is manipulated 
and to locate deepfake … named FakeSound for deepfake general audio detection is …",https://arxiv.org/abs/2406.08052
Pvass-mdd: predictive visual-audio alignment self-supervision for multimodal deepfake detection,"Y Yu, X Liu, R Ni, S Yang, Y Zhao… ",16,2023,"IEEE Transactions on …, 2023",ieeexplore.ieee.org,"… Abstract—Deepfake techniques can forge the visual or audio signals in the video, which … 
and audio (VA) signals. Therefore, multimodal detection methods expose deepfake videos by …",https://ieeexplore.ieee.org/abstract/document/10233898/
SLIM: Style-Linguistics Mismatch Model for Generalized Audio Deepfake Detection,"Y Zhu, S Koppisetti, T Tran, G Bharaj ",1,2024,"arXiv preprint arXiv:2407.18517, 2024",arxiv.org,"… We propose SLIM, a model leveraging Style and LInguistics Mismatch in deepfake audios 
for generalized detection with interpretation capabilities. 2. SLIM outperforms existing SOTA …",https://arxiv.org/abs/2407.18517
Deepfake culture: the emergence of audio-video deception as an object of social anxiety and regulation,R Cover ,23,2022,"Continuum, 2022",Taylor & Francis,"… deepfake from being recognized as harmful to being made illegal (Flew Citation2021, 225–226), 
this paper argues that the deepfake … the emergence of the deepfake tells us about how …",https://www.tandfonline.com/doi/abs/10.1080/10304312.2022.2084039
The Codecfake Dataset and Countermeasures for the Universally Detection of Deepfake Audio,"Y Xie, Y Lu, R Fu, Z Wen, Z Wang, J Tao, X Qi… ",6,2024,"arXiv preprint arXiv …, 2024",arxiv.org,"… challenge to current audio deepfake detection (ADD) models. To effectively detect ALM-based 
deepfake audio, we focus on the mechanism of the ALM-based audio generation method, …",https://arxiv.org/abs/2405.04880
Multi-Scale Permutation Entropy for Audio Deepfake Detection,"C Wang, J He, J Yi, J Tao, CY Zhang… ",3,2024,"2024 …, 2024",ieeexplore.ieee.org,"… In this paper, we firstly introduce MPE as a novel approach for audio deepfake detection. … 
Thus, we believe that MPE has potential in audio deepfake detection tasks. We will continue …",https://ieeexplore.ieee.org/abstract/document/10448095/
Detecting deepfake voice using explainable deep learning techniques,"SY Lim, DK Chae, SC Lee ",39,2022,"Applied Sciences, 2022",mdpi.com,"… of interpretability on deepfake detection models makes their reliability questionable. In this 
paper, we present a human perception level of interpretability for deepfake audio detection. …",https://www.mdpi.com/2076-3417/12/8/3926
Audio Deepfake Detection with Self-Supervised XLS-R and SLS Classifier,"Q Zhang, S Wen, T Hu ",1,2024,"ACM Multimedia 2024, 2024",openreview.net,"… In the field of deepfake audio detection, the majority of … However, with the ongoing development 
of deepfake audio … of deepfake audio features, we propose a deepfake audio detection …",https://openreview.net/forum?id=acJMIXJg2u
A novel smart deepfake video detection system,"M Elpeltagy, A Ismail, MS Zaki… ",10,2023,"International Journal of …, 2023",researchgate.net,"… AI-based audio manipulation is a category of deepfake that clones a human's … , audio, and 
the whole video including video frames and audio. This paper introduces a smart deepfake …",https://www.researchgate.net/profile/Aya-Ismail-5/publication/368017169_A_Novel_Smart_Deepfake_Video_Detection_System/links/63de7553c465a873a28bcf1d/A-Novel-Smart-Deepfake-Video-Detection-System.pdf
Exploring Green AI for Audio Deepfake Detection,"S Saha, M Sahidullah, S Das ",1,2024,"arXiv preprint arXiv:2403.14290, 2024",arxiv.org,"… Abstract—The state-of-the-art audio deepfake detectors lever… a novel framework for audio 
deepfake detection that can be … Index Terms—ASVspoof, Anti-spoofing, Audio deepfake …",https://arxiv.org/abs/2403.14290
Temporal Feature Prediction in Audio–Visual Deepfake Detection,"Y Gao, X Wang, Y Zhang, P Zeng, Y Ma ",0,2024,"Electronics, 2024",mdpi.com,"… audio–visual signals, limiting their accuracy. To solve this problem, we propose a deepfake 
… audio–video bimodal deepfake detection task, aiming at fully exploiting the temporal laws of …",https://www.mdpi.com/2079-9292/13/17/3433
A robust approach to multimodal deepfake detection,"D Salvi, H Liu, S Mandelli, P Bestagini, W Zhou… ",21,2023,"Journal of …, 2023",mdpi.com,"… In this paper, we present a new multimodal video deepfake detection method that combines 
visual and audio information. To determine the authenticity of the input video sequence, we …",https://www.mdpi.com/2313-433X/9/6/122
Does Audio Deepfake Detection Rely on Artifacts?,"TH Shih, CY Yeh, MS Chen ",2,2024,"2024 IEEE …, 2024",ieeexplore.ieee.org,"… In this case, our BEAR demonstrates greater discriminative ability for audio deepfake … In 
this case, our BEAR setting is a more discriminative evaluation for the audio deepfake detectors. …",https://ieeexplore.ieee.org/abstract/document/10446558/
Deepfake detection: Current challenges and next steps,S Lyu ,211,2020,"2020 IEEE international conference on multimedia & …, 2020",ieeexplore.ieee.org,"… the DeepFake videos more convincing and compounds its negative impact. As audio signals 
… conversion detection, and a few dedicated methods for audio DeepFake detection, eg, [30], …",https://ieeexplore.ieee.org/abstract/document/9105991/
ABC-CapsNet: Attention based Cascaded Capsule Network for Audio Deepfake Detection,"TM Wani, R Gulzar, I Amerini ",0,2024,"Proceedings of the IEEE/CVF …, 2024",openaccess.thecvf.com,"… In response to the escalating challenge of audio deepfake detection, this study introduces 
… audio data patterns, setting a new standard in the precision of identifying manipulated audio …",https://openaccess.thecvf.com/content/CVPR2024W/WiCV/html/Wani_ABC-CapsNet_Attention_based_Cascaded_Capsule_Network_for_Audio_Deepfake_Detection_CVPRW_2024_paper.html
Harder or Different? Understanding Generalization of Audio Deepfake Detection,"NM Müller, N Evans, H Tak, P Sperl… ",1,2024,"arXiv preprint arXiv …, 2024",arxiv.org,"Recent research has highlighted a key issue in speech deepfake detection: models trained 
on one set of deepfakes perform poorly on others. The question arises: is this due to the …",https://arxiv.org/abs/2406.03512
Multi-space channel representation learning for mono-to-binaural conversion based audio deepfake detection,"R Liu, J Zhang, G Gao ",3,2024,"Information Fusion, 2024",Elsevier,"… frame-level audio deepfake detection task. The most important thing for frame-level ADD 
is to discover the details of the fake audio at the frame level, and our model does exactly that. …",https://www.sciencedirect.com/science/article/pii/S1566253524000356
Data augmentation and hybrid feature amalgamation to detect audio deep fake attacks,"N Chakravarty, M Dua ",14,2023,"Physica Scripta, 2023",iopscience.iop.org,"… 2021 includes an audio deepfake detection job, it only uses compressed audio, similar to … 
deepfake attacks are created by using some ML techniques. Among these three, the deepfake …",https://iopscience.iop.org/article/10.1088/1402-4896/acea05/meta
